Var1,Var2
-2.04771367985612,0.471381097122302
-2.04744655790054,0.465082072411062
-2.04741507790044,0.460173705977918
-2.0472563454114,0.453512520067232
-2.04721146679093,0.447569130537437
-2.04725186993654,0.441520683000143
-2.04718750168974,0.434630243750292
-2.04685173985909,0.426706472672614
-2.04695925534268,0.419727649275433
-2.04673509767276,0.411489646872111
-2.04635955681818,0.402262130681818
-2.04647950636375,0.394330451770644
-2.04632241297328,0.38540617715864
-2.04622221543931,0.37681747279278
-2.04607683532614,0.368232039977081
-2.04575257440046,0.358364065900992
-2.0457684760153,0.34912403967278
-2.04557088672832,0.339921431646731
-2.04556733117549,0.33075173672423
-2.04538533737146,0.321700203944219
-2.04522468080399,0.313695344191301
-2.04475809304921,0.305129399586317
-2.04467965880864,0.297515277878087
-2.04484717062692,0.290083190481762
-2.0443298770074,0.280859420828588
-2.04422839555068,0.271489064140776
-2.04388789434189,0.26053484549988
-2.04369070663929,0.249965454572047
-2.04342034500868,0.239129578087019
-2.04248486632152,0.226280935250835
-2.04230732236842,0.213954273325359
-2.04181663280924,0.200721447290106
-2.04179376798444,0.186986505846781
-2.04159131658177,0.172595144665563
-2.04107527986561,0.15796976069863
-2.04055440885914,0.143792820666489
-2.04042067575305,0.130368051195637
-2.04000739959471,0.11644988760976
-2.03977076881256,0.103534786126179
-2.0395647156654,0.0905996970497914
-2.03891883882732,0.0769716186207383
-2.0388105915233,0.0627425820884925
-2.03875258820306,0.0496213170387116
-2.03855129093772,0.0358726540109822
-2.03831782068917,0.0214558112609562
-2.03813934057483,0.00794524137268096
-2.03797356106587,-0.00523120087155576
-2.03757180990755,-0.0180548631862429
-2.03740321149057,-0.029622198452825
-2.03722922689895,-0.0400810322748744
-2.03700602888354,-0.0499921233811148
-2.03678681959439,-0.0588979656719615
-2.03651024939756,-0.0673128550455708
-2.03671089398423,-0.076304393109851
-2.03661482539796,-0.0864026545619412
-2.03645631202655,-0.0949081382055167
-2.03634670952302,-0.103069568660554
-2.0365347371453,-0.111248290493849
-2.03612721547568,-0.121109366028991
-2.03603047277625,-0.130604349449173
-2.03605433510524,-0.139337951296602
-2.03590812002361,-0.148298733161749
-2.03603013505831,-0.157299181217248
-2.03557062414447,-0.167251497279119
-2.03535260783529,-0.176468069659706
-2.03607236260749,-0.184463239965321
-2.03630562609522,-0.195174134397083
-2.03646725577803,-0.20756115784707
-2.03611522461568,-0.219083566213484
-2.03590630368643,-0.230196444560792
-2.0357706254275,-0.241772626599383
-2.03559358463237,-0.252818615632593
-2.03551088587303,-0.265156178806011
-2.03559780755582,-0.278919237443585
-2.03594723216152,-0.294361882805736
-2.03606246679303,-0.310011431046633
-2.0360419459559,-0.325244803673454
-2.0360376021978,-0.340214119780227
-2.03611207888781,-0.354918815033942
-2.0361828052307,-0.369518102930907
-2.03625809891274,-0.385291730231573
-2.03630933626686,-0.401618459375448
-2.03610298389224,-0.418049214656365
-2.03620391656064,-0.43331066234007
-2.03619018638157,-0.449196667520374
-2.03607320671199,-0.466267485751483
-2.03608749731897,-0.483695846174165
-2.03579480261572,-0.501602895857263
-2.03538021270531,-0.518756877048311
-2.03493140685668,-0.53558421237709
-2.03472102046024,-0.551573645546679
-2.03430820168108,-0.56644818981692
-2.03359337971158,-0.580789470790335
-2.03324525756421,-0.594249570439098
-2.03265430364309,-0.608063586879177
-2.03220560399421,-0.621855095301345
-2.0319591392356,-0.636275468375305
-2.03168254629845,-0.650530859571743
-2.03130061809207,-0.665538464177013
-2.03074786370054,-0.680445952370443
-2.03073214102992,-0.696193193576099
-2.03011477257703,-0.712827305556738
-2.02938629878885,-0.728546408935813
-2.02901873120969,-0.744185890013673
-2.02861149658416,-0.759254474236743
-2.02820154364542,-0.773469485322565
-2.02735083087758,-0.788762991471772
-2.02649117198487,-0.804285400274712
-2.02553753002448,-0.820133785143448
-2.02441214234299,-0.835884110919994
-2.02359131280361,-0.850701104645937
-2.02281618800842,-0.864884586955693
-2.0220091360867,-0.878035063060623
-2.02126176475934,-0.890612519216764
-2.02111587272421,-0.904004878330964
-2.01963186650689,-0.917028648172558
-2.01784568526872,-0.933121606559136
-2.01608475804696,-0.949967653983045
-2.01477157465868,-0.964461364138915
-2.01314889005522,-0.978140005270293
-2.01159438945476,-0.993622730497304
-2.00993419305673,-1.00826413373843
-2.00802073377204,-1.02264216092612
-2.0067436144991,-1.03490620251818
-2.00409279473346,-1.04561874691596
-2.00233634290348,-1.05557277987848
-2.00138974708507,-1.06541502826183
-1.99932235534928,-1.07438685644019
-1.99660060490364,-1.08357996948953
-1.99357539289576,-1.09341051742114
-1.99006805173597,-1.10430475544932
-1.98678483065782,-1.11524784329536
-1.98311910659998,-1.12678807847229
-1.98101733674102,-1.13785764547707
-1.97728221456516,-1.14973140888931
-1.97376599597045,-1.16144490300297
-1.96922272817933,-1.17326521646814
-1.96417658217812,-1.18493443420345
-1.95770801168474,-1.19584078845986
-1.95110534789576,-1.20780046258137
-1.94173787031418,-1.22019384866802
-1.93104531475301,-1.23328874928135
-1.92088386231755,-1.24691445720538
-1.91267106396702,-1.26148620992944
-1.90452011592435,-1.27457765618912
-1.89684517370036,-1.28637763396796
-1.88876408283195,-1.29890640908939
-1.88069179635048,-1.31203580030174
-1.87248337875413,-1.3246738155376
-1.86443484887806,-1.3368724193849
-1.85687792676513,-1.34867644537322
-1.84946796318559,-1.36033073169946
-1.84162013437105,-1.37273727387464
-1.83137330905546,-1.38691798182725
-1.8213943191608,-1.40203934241426
-1.81190195948461,-1.41660418525412
-1.80302273521526,-1.42956526568326
-1.79394997581233,-1.44245740748087
-1.78323329473834,-1.45681283165504
-1.77205143588558,-1.47182098622748
-1.76133113908097,-1.48625183369287
-1.75104318817429,-1.49938897464853
-1.7407552372676,-1.51252611560419
-1.73046728636093,-1.52566325655983
-1.72017933545424,-1.53880039751549
-1.70989138454755,-1.55193753847115
-1.69960343364087,-1.56507467942681
-1.68929401864437,-1.57835691803952
-1.67690827328371,-1.59163292586344
-1.66210796986495,-1.60422990483961
-1.64578674184887,-1.61567369965478
-1.62887412975699,-1.62601926816705
-1.61254891849266,-1.6361186273552
